t,xbar_true,observation,filtered_mean,filtered_std,crowding_c_t
0.37,0.16411752781818612,0.19518470214866268,0.18641714713196134,0.018756372841341278,0.008767555016701345
0.375,0.164863446370701,0.15769947453593586,0.17009209100772238,0.016010487422272457,0.012392616471786522
0.38,0.13098289011379013,0.10946161721033579,0.1374887398692067,0.016514660840907303,0.028027122658870918
0.385,0.1383351302052118,0.1566274759448578,0.14654077876880964,0.015182769287821606,0.010086697176048154
0.39,0.13237992051198738,0.07468756114393374,0.09726702817206466,0.017062038810544185,0.02257946702813092
0.395,0.14791876176286947,0.138117495301441,0.11877800163085851,0.015468101633272632,0.019339493670582478
0.4,0.15782248963636816,0.2060904137695738,0.16830976189839092,0.01646697365093775,0.037780651871182874
0.405,0.17581124310183907,0.17634140608411109,0.17245981526373147,0.015190908172400553,0.0038815908203796157
0.41000000000000003,0.17277119672339616,0.17992872919562666,0.17461672503996675,0.01566437417035956,0.005312004155659911
0.41500000000000004,0.18377944850024214,0.16492440674047032,0.16454301453503759,0.016393090740988277,0.00038139220543273455
0.42,0.18658959325979294,0.1861345631848883,0.17984744993554144,0.01710897279492077,0.0062871132493468596
0.425,0.18564226141042775,0.18287820825906922,0.17742186071240257,0.01711494321201507,0.005456347546666657
0.43,0.16512121096750532,0.20090212831983667,0.19239146391213055,0.017237067803009674,0.00851066440770612
0.435,0.15495851661639023,0.1356927783466319,0.1584387454294124,0.014604334992377064,0.022745967082780483
0.44,0.15144185057400983,0.09925724542498043,0.1253039704534244,0.01357570288705294,0.026046725028443962
0.445,0.15866406464039914,0.1662766201725702,0.14712504645857896,0.014078683947794416,0.019151573713991232
0.45,0.15594429700422677,0.1846933226873257,0.16646411174030035,0.013331734371479565,0.018229210947025343
0.455,0.15319947254652155,0.14054336700845033,0.1508874622601266,0.013295115647767954,0.01034409525167626
0.46,0.14547870507593716,0.11227123838730033,0.13171506519798348,0.01346350094984186,0.019443826810683157
0.465,0.15118170679541862,0.13182155875432894,0.1306780962974962,0.013314336693316407,0.00114346245683275
0.47000000000000003,0.15492122449613444,0.16267521308547556,0.15039675649145848,0.014864074616984508,0.012278456594017079
0.47500000000000003,0.13198141750015907,0.12201555032622478,0.13316506847992954,0.013525225883890872,0.011149518153704754
0.48,0.13233933136154058,0.13308380709903184,0.13765904744386992,0.01449679658574656,0.004575240344838083
0.485,0.14068157348591348,0.09962879275604983,0.11248271341730609,0.014576884640091466,0.012853920661256263
0.49,0.12529357681630962,0.11631120479793543,0.11420078994306598,0.012926061023905679,0.002110414854869444
0.495,0.15544546789006045,0.16893456609348542,0.14927901322795226,0.013697155175837875,0.019655552865533166
0.5,0.12044745239709576,0.11595738197664236,0.1294694436544668,0.013179607867527343,0.013512061677824441
0.505,0.13400010677832716,0.11677485467235432,0.12158075564526732,0.012550968192085243,0.004805900972913002
0.51,0.14410442801492135,0.16164918195847272,0.15121189285442077,0.013892816133053536,0.01043728910405195
0.515,0.13346425965888617,0.1497876681739064,0.1496933275667782,0.012650946282157072,9.434060712820713e-05
0.52,0.1189270823455517,0.11129387804465347,0.12293669806508474,0.01318826200311325,0.011642820020431266
0.525,0.12056142914141081,0.10849483936055053,0.11403779743556573,0.01243142457226049,0.005542958075015203
0.53,0.1352501074503947,0.15586891481237425,0.14446804864846793,0.013427995497165975,0.011400866163906315
0.535,0.11605990032618275,0.10725991787503679,0.1225888657997388,0.011820572835539124,0.015328947924702005
0.54,0.08893798519046532,0.0863448662940727,0.10166683877423235,0.011653775920214191,0.015321972480159651
0.545,0.06686261231255199,0.095222353513965,0.09749030994608447,0.011777326607974542,0.0022679564321194667
0.55,0.05225872828623475,0.055177974718317785,0.06926602003814347,0.012677172207283099,0.014088045319825687
0.555,0.05162107102487732,0.04394185602401738,0.05426869610372337,0.011834291798840782,0.010326840079705989
0.56,0.04143820084584359,0.011040457310237877,0.027259793172359055,0.014562727041743039,0.016219335862121178
0.5650000000000001,0.03068319516934648,0.03122357496141359,0.030324775429201575,0.012154601066764133,0.0008987995322120163
0.5700000000000001,0.030484130644564744,0.02917262163931734,0.028719955247791647,0.012844391531635921,0.0004526663915256947
